run_id,record_type,scenario_id,variant,environment,viewport,test_date,operator,method,status,elapsed_seconds,click_count,scroll_count,key_count,error_count,recovery_count,start_state,end_state,observation,evidence,human_participant_id,limitations
BASELINE-001,Computer Use benchmark,UX-01,BASE,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,0.465,1,0,0,0,0,初期局面,0手目の先手番,盤と対局カードが同じ表示範囲にあり新規対局へスクロールなしで到達,docs/ux/mode-separation/evidence/BASELINE-001/desktop-current-game.jpeg,,操作者はラベルと正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価
BASELINE-001,Computer Use benchmark,UX-02,BASE,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,1.201,2,0,0,0,0,0手目の先手番,AI応手後の2手目と棋譜,盤と棋譜を横並びで確認でき上下移動は不要,docs/ux/mode-separation/evidence/BASELINE-001/desktop-current-game.jpeg,,操作者はラベルと正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価
BASELINE-001,Computer Use benchmark,UX-03,BASE,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,1.719,1,1,0,0,0,2手目の最終局面,現在局面の最善手と評価グラフ,解析ボタンは最初の表示範囲下端にあるが結果が下へ展開するため視覚確認に1回スクロール,docs/ux/mode-separation/evidence/BASELINE-001/desktop-analysis-result.jpeg,,操作者はラベルと正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価
BASELINE-001,Computer Use benchmark,UX-04,BASE,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,4.567,4,1,1,0,0,初期局面,5手KIFの3手目と解析結果,KIF読込で棋譜一覧が伸び解析カードが下へ移動するため3手目から解析へ1回スクロール,docs/ux/mode-separation/evidence/BASELINE-001/desktop-analysis-result.jpeg,,操作者はラベルと正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価
BASELINE-001,Computer Use benchmark,UX-05,BASE,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,1.406,1,1,0,0,0,解析済み5手KIFの3手目,URL共有完了,解析結果から上にあるURL共有へ戻るため1回上方向スクロール,docs/ux/mode-separation/evidence/BASELINE-001/desktop-analysis-result.jpeg,,操作者はラベルと正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価
BASELINE-001,Computer Use benchmark,UX-01,BASE,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,2.649,1,1,0,0,0,初期局面,0手目の先手番,初期表示は盤が中心で新規対局ボタンへ到達するには1回下方向スクロール,docs/ux/mode-separation/evidence/BASELINE-001/mobile-initial.jpeg,,操作者はラベルと正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価
BASELINE-001,Computer Use benchmark,UX-02,BASE,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,4.264,2,2,0,0,0,0手目の対局カード,AI応手後の2手目と棋譜,対局カードから盤へ戻り着手後に棋譜へ進むため上下2回のスクロール,docs/ux/mode-separation/evidence/BASELINE-001/mobile-initial.jpeg,,操作者はラベルと正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価
BASELINE-001,Computer Use benchmark,UX-03,BASE,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,3.160,1,1,0,0,0,2手目の棋譜カード,現在局面の最善手と評価グラフ,解析ボタンは棋譜カード付近にあるが展開結果を見るためさらに1回下方向スクロール,docs/ux/mode-separation/evidence/BASELINE-001/mobile-analysis-result.jpeg,,操作者はラベルと正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価
BASELINE-001,Computer Use benchmark,UX-04,BASE,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,9.646,4,2,1,0,0,初期局面,5手KIFの3手目と解析結果,KIF読込への移動と解析カードへの移動で合計2回スクロール,docs/ux/mode-separation/evidence/BASELINE-001/mobile-analysis-result.jpeg,,操作者はラベルと正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価
BASELINE-001,Computer Use benchmark,UX-05,BASE,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,2.217,1,1,0,0,0,解析済み5手KIFの3手目,URL共有完了,解析結果の下側から棋譜カード内のURL共有へ1回上方向スクロール,docs/ux/mode-separation/evidence/BASELINE-001/mobile-analysis-result.jpeg,,操作者はラベルと正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価
