run_id,record_type,scenario_id,variant,environment,viewport,test_date,operator,method,status,elapsed_seconds,click_count,scroll_count,key_count,error_count,recovery_count,start_state,end_state,observation,evidence,human_participant_id,limitations
PROTOTYPE-001,Computer Use benchmark,UX-01,A,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,0.566,1,0,0,0,0,初期局面・対局開始前,0手目の先手番,対局モード内の主要CTAから開始。盤と操作パネルを同時に確認,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-A-mode-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-02,A,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,1.146,2,0,0,0,0,0手目の先手番,AI応手後の2手目と棋譜,盤で着手後、同じ表示範囲の棋譜にAI応手まで反映,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-A-mode-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-03,A,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,1.540,2,0,0,0,0,2手目の最終局面,現在局面の最善手と評価グラフ,解析モードへ切り替えて開始。局面と棋譜は保持,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-A-mode-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-04,A,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,4.036,5,0,0,0,0,初期局面,5手KIFの3手目と解析結果,共通KIFを読み込み3手目へ移動。モード切替後も局面を保持,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-A-mode-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-05,A,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,0.789,1,0,0,0,0,解析済み5手KIFの3手目,URL共有完了,解析モードにも共通棋譜操作が残り、保存と共有へ直接到達,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-A-mode-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-01,A,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,3.122,1,1,0,0,0,初期局面・対局開始前,0手目の先手番,盤中心の初期表示から対局カードへ1回スクロールして開始,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-A-mode-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-02,A,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,4.988,2,2,0,0,0,0手目の先手番,AI応手後の2手目と棋譜,対局カードから盤へ戻り、着手後に棋譜へ移動するため上下2回,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-A-mode-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-03,A,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,4.549,2,1,0,0,0,2手目の最終局面,現在局面の最善手と評価グラフ,固定ドックで解析へ切り替えた後、解析CTAへ1回上方向スクロール,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-A-mode-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-04,A,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,9.265,5,2,0,0,0,初期局面,5手KIFの3手目と解析結果,KIF操作領域へ下移動し、モード切替後の解析CTAへ上移動,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-A-mode-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-05,A,ENV-02 Narrow,400x625,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,3.038,1,1,0,0,0,解析済み5手KIFの3手目,URL共有完了,解析結果から共通棋譜操作へ1回下方向スクロールして共有,docs/ux/mode-separation/evidence/PROTOTYPE-001/mobile-A-mode-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-01,B,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,0.566,1,0,0,0,0,初期局面・対局開始前,0手目の先手番,対局を基本表示にしたまま主要CTAから開始,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-B-sheet-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-02,B,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,1.042,2,0,0,0,0,0手目の先手番,AI応手後の2手目と棋譜,盤と棋譜を常時表示した状態でAI応手まで確認,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-B-sheet-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-03,B,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,1.319,2,0,0,0,0,2手目の最終局面,現在局面の最善手と評価グラフ,盤と棋譜を残した非モーダルシート内で解析結果を確認,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-B-sheet-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
PROTOTYPE-001,Computer Use benchmark,UX-04,B,ENV-01 Desktop,Desktop Chrome,2026-07-21,Codex Computer Use,Single-call scripted visual benchmark,Pass,3.748,5,0,0,0,0,初期局面,5手KIFの3手目と解析結果,5手KIFの3手目を保持したまま解析シートを展開,docs/ux/mode-separation/evidence/PROTOTYPE-001/desktop-B-sheet-analysis.png,,正解経路を既知・経過時間はComputer Use待機を含む・人間の発見性は未評価・低忠実度プロトタイプ
